year,state
1990,7590
1991,8040
1992,7858
1993,7807
1994,7670
1995,7639
1996,7780
1997,8058
1998,7954
1999,7850
2000,7780
2001,7476
2002,7358
2003,6989
2004,6859
2005,6685
2006,7227
2007,7543
2008,7494
2009,7451
2010,6496
2011,6025
2012,5844
