year,state
1990,9349
1991,9253
1992,8710
1993,8692
1994,8919
1995,8819
1996,8786
1997,8524
1998,8250
1999,8045
2000,7775
2001,7120
2002,6899
2003,6752
2004,6702
2005,6726
2006,7412
2007,7547
2008,7636
2009,7208
2010,6684
2011,6111
2012,5689
