year,state
1990,1564
1991,1408
1992,1381
1993,1437
1994,1389
1995,1267
1996,1285
1997,1313
1998,1293
1999,1222
2000,1250
2001,1236
2002,1197
2003,1077
2004,1150
2005,1117
2006,1127
2007,1192
2008,1124
2009,1051
2010,891
2011,831
2012,760
