year,state
1990,3976
1991,3900
1992,3758
1993,3738
1994,3674
1995,3584
1996,3420
1997,3268
1998,3225
1999,3044
2000,2839
2001,2683
2002,2630
2003,2544
2004,2471
2005,2450
2006,2589
2007,2714
2008,2772
2009,2845
2010,2608
2011,2461
2012,2407
