year,state
1990,1331
1991,1311
1992,1345
1993,1402
1994,1320
1995,1395
1996,1326
1997,1311
1998,1316
1999,1249
2000,1268
2001,1258
2002,1266
2003,1205
2004,1218
2005,1185
2006,1283
2007,1200
2008,1312
2009,1264
2010,1128
2011,930
2012,892
