year,state
1990,2009
1991,2221
1992,2229
1993,2309
1994,2248
1995,2489
1996,2486
1997,2330
1998,2457
1999,2396
2000,2349
2001,2203
2002,2080
2003,2075
2004,2050
2005,2015
2006,2140
2007,2257
2008,2261
2009,2038
2010,1863
2011,1584
2012,1568
