year,state
1990,1857
1991,1805
1992,1625
1993,1505
1994,1459
1995,1406
1996,1333
1997,1378
1998,1326
1999,1313
2000,1273
2001,1215
2002,1139
2003,1133
2004,1109
2005,1112
2006,1133
2007,1172
2008,1117
2009,1047
2010,917
2011,867
2012,798
