year,state
1990,5084
1991,5140
1992,5125
1993,5092
1994,5240
1995,5448
1996,5681
1997,5356
1998,5571
1999,5492
2000,5094
2001,4820
2002,4411
2003,4117
2004,3999
2005,4001
2006,4285
2007,4343
2008,4476
2009,4063
2010,3496
2011,3134
2012,2851
