year,state
1990,8143
1991,7947
1992,7356
1993,7253
1994,7332
1995,7211
1996,7186
1997,7002
1998,7139
1999,7238
2000,7202
2001,6756
2002,6547
2003,6274
2004,6245
2005,6282
2006,6705
2007,6892
2008,6560
2009,6140
2010,5396
2011,4797
2012,4286
