year,state
1990,4722
1991,4534
1992,4640
1993,4767
1994,4741
1995,4801
1996,4714
1997,4758
1998,4805
1999,4920
2000,4706
2001,4472
2002,4321
2003,4100
2004,4013
2005,4055
2006,4109
2007,4271
2008,4403
2009,4233
2010,3865
2011,3493
2012,3306
