year,state
1990,16506
1991,16132
1992,15653
1993,15113
1994,15224
1995,15049
1996,15296
1997,15032
1998,15325
1999,15049
2000,15353
2001,14336
2002,13756
2003,13174
2004,13567
2005,13933
2006,14701
2007,15079
2008,15136
2009,14093
2010,12309
2011,11070
2012,10077
