year,state
1990,4038
1991,3903
1992,3701
1993,3655
1994,3776
1995,3716
1996,3578
1997,3498
1998,3555
1999,3386
2000,3277
2001,3081
2002,2901
2003,2840
2004,2867
2005,2813
2006,2875
2007,2837
2008,2789
2009,2605
2010,2274
2011,2020
2012,1889
