year,state
1990,9721
1991,9515
1992,9052
1993,8448
1994,8585
1995,8518
1996,8362
1997,8341
1998,8391
1999,8467
2000,8382
2001,7901
2002,7327
2003,7247
2004,7470
2005,7478
2006,8175
2007,8329
2008,8329
2009,7651
2010,6849
2011,6026
2012,5537
