year,state
1990,11227
1991,11121
1992,10857
1993,10431
1994,10584
1995,10282
1996,10262
1997,10095
1998,10281
1999,10006
2000,9852
2001,9317
2002,8835
2003,8670
2004,8754
2005,8611
2006,9183
2007,9244
2008,9160
2009,8499
2010,7669
2011,6944
2012,6317
