year,state
1990,1172
1991,1192
1992,1245
1993,1185
1994,1192
1995,1179
1996,1189
1997,1224
1998,1214
1999,1175
2000,1155
2001,1148
2002,1138
2003,1027
2004,1121
2005,1082
2006,1123
2007,1191
2008,1117
2009,1092
2010,975
2011,964
2012,929
