year,state
1990,5342
1991,5345
1992,5210
1993,5216
1994,5336
1995,5241
1996,5417
1997,5583
1998,5522
1999,5503
2000,5495
2001,5240
2002,5079
2003,4898
2004,4916
2005,4780
2006,5090
2007,5193
2008,4885
2009,4384
2010,4035
2011,3464
2012,3295
