year,state
1990,7281
1991,7270
1992,7050
1993,7060
1994,6876
1995,6932
1996,6965
1997,6933
1998,6941
1999,7194
2000,6977
2001,6775
2002,6436
2003,6234
2004,5994
2005,6011
2006,6015
2007,6243
2008,6041
2009,5798
2010,5100
2011,4504
2012,4159
