year,state
1990,48302
1991,49588
1992,49805
1993,50425
1994,51471
1995,52135
1996,52273
1997,52728
1998,54004
1999,54367
2000,54315
2001,52782
2002,52142
2003,51091
2004,51389
2005,51180
2006,53093
2007,54281
2008,54284
2009,52656
2010,47751
2011,42748
2012,40451
