year,state
1990,3989
1991,4044
1992,3872
1993,4003
1994,3991
1995,4024
1996,4047
1997,3888
1998,3900
1999,3948
2000,3788
2001,3574
2002,3392
2003,3296
2004,3238
2005,3330
2006,3495
2007,3529
2008,3591
2009,3421
2010,3017
2011,2665
2012,2498
