year,state
1990,11252
1991,11272
1992,10960
1993,10645
1994,10999
1995,10857
1996,10807
1997,10461
1998,10393
1999,9850
2000,9727
2001,8820
2002,8427
2003,8095
2004,8126
2005,7771
2006,8537
2007,8696
2008,8559
2009,8205
2010,7343
2011,6609
2012,6195
