year,state
1990,27017
1991,26200
1992,25213
1993,25037
1994,25435
1995,25088
1996,24806
1997,25168
1998,25228
1999,24912
2000,25166
2001,24217
2002,23181
2003,22770
2004,23407
2005,24130
2006,25384
2007,25693
2008,24077
2009,22021
2010,19127
2011,17125
2012,15952
