year,state
1990,8397
1991,8490
1992,8303
1993,8483
1994,8467
1995,8709
1996,8609
1997,8421
1998,8591
1999,8441
2000,8127
2001,7517
2002,7035
2003,6736
2004,6733
2005,6746
2006,7110
2007,7430
2008,7386
2009,6866
2010,6002
2011,5530
2012,5017
