year,state
1990,12335
1991,12148
1992,11668
1993,11690
1994,11739
1995,11933
1996,11875
1997,11577
1998,11570
1999,11189
2000,10846
2001,10109
2002,9594
2003,9378
2004,9478
2005,9508
2006,9549
2007,9948
2008,9607
2009,9527
2010,8665
2011,7917
2012,7370
