year,state
1990,7011
1991,6880
1992,6554
1993,6486
1994,6797
1995,6710
1996,7026
1997,6835
1998,6691
1999,6434
2000,6400
2001,5941
2002,5681
2003,5585
2004,5716
2005,5646
2006,5946
2007,5926
2008,5940
2009,5753
2010,5229
2011,4845
2012,4349
