year,state
1990,5975
1991,6259
1992,6401
1993,6324
1994,6526
1995,6464
1996,6541
1997,6645
1998,7060
1999,7251
2000,7550
2001,7169
2002,7238
2003,6700
2004,6775
2005,6646
2006,6719
2007,6737
2008,6638
2009,6203
2010,5474
2011,4734
2012,4154
