year,state
1990,22690
1991,22721
1992,21539
1993,21173
1994,20823
1995,20631
1996,19851
1997,19894
1998,19564
1999,18710
2000,18455
2001,17034
2002,15698
2003,15559
2004,15291
2005,15490
2006,15872
2007,16362
2008,16204
2009,15445
2010,13752
2011,12338
2012,11437
