year,state
1990,20312
1991,19405
1992,18374
1993,17226
1994,17063
1995,16467
1996,15909
1997,15383
1998,15261
1999,14547
2000,14122
2001,13457
2002,12261
2003,12223
2004,12243
2005,11809
2006,12322
2007,12497
2008,11985
2009,11709
2010,10835
2011,9658
2012,8913
