year,state
1990,1142
1991,1215
1992,1260
1993,1183
1994,1210
1995,1136
1996,1096
1997,1099
1998,1101
1999,1123
2000,1162
2001,1056
2002,1068
2003,1051
2004,1073
2005,1038
2006,1101
2007,1117
2008,1135
2009,1106
2010,956
2011,880
2012,817
