year,state
1990,11353
1991,10890
1992,10465
1993,10104
1994,10470
1995,10270
1996,9912
1997,9850
1998,9945
1999,9935
2000,9630
2001,9439
2002,9030
2003,8831
2004,8776
2005,8778
2006,9105
2007,9200
2008,8801
2009,8228
2010,7374
2011,6524
2012,6076
