year,state
1990,26608
1991,26231
1992,25363
1993,25539
1994,25729
1995,24826
1996,23876
1997,22197
1998,22344
1999,21489
2000,20783
2001,20012
2002,18394
2003,17624
2004,17051
2005,17068
2006,17442
2007,17621
2008,17289
2009,16306
2010,15126
2011,13718
2012,12592
