year,state
1990,24967
1991,24662
1992,23981
1993,23776
1994,24031
1995,23467
1996,22831
1997,22201
1998,22180
1999,21417
2000,20714
2001,19758
2002,18217
2003,17405
2004,17520
2005,17041
2006,17752
2007,18089
2008,17410
2009,16196
2010,14798
2011,13026
2012,12098
