year,state
1990,8909
1991,9062
1992,8810
1993,8768
1994,8897
1995,8848
1996,8451
1997,8307
1998,8318
1999,8200
2000,8028
2001,7340
2002,6961
2003,6625
2004,6543
2005,6411
2006,7404
2007,7811
2008,7193
2009,6945
2010,6077
2011,5363
2012,4781
