year,state
1990,2352
1991,2329
1992,2285
1993,2305
1994,2509
1995,2283
1996,2434
1997,2397
1998,2451
1999,2470
2000,2477
2001,2393
2002,2394
2003,2304
2004,2265
2005,2147
2006,2112
2007,2280
2008,2286
2009,2209
2010,1958
2011,1731
2012,1671
