year,state
1990,3707
1991,3829
1992,3869
1993,3951
1994,4043
1995,4222
1996,4438
1997,4503
1998,4389
1999,4253
2000,4146
2001,3884
2002,3574
2003,3307
2004,3207
2005,3181
2006,3498
2007,3775
2008,3749
2009,3349
2010,3049
2011,2542
2012,2494
