year,state
1990,12928
1991,12868
1992,12127
1993,11992
1994,12350
1995,12118
1996,12061
1997,11889
1998,12046
1999,11723
2000,11458
2001,10838
2002,10300
2003,10198
2004,10087
2005,10785
2006,10784
2007,11260
2008,11157
2009,10378
2010,9254
2011,8497
2012,7910
