year,state
1990,7266
1991,6896
1992,6558
1993,6473
1994,6415
1995,6001
1996,5761
1997,5805
1998,5823
1999,5524
2000,5308
2001,4984
2002,4643
2003,4643
2004,4559
2005,4540
2006,4724
2007,4949
2008,4586
2009,4482
2010,3909
2011,3478
2012,3220
