year,state
1990,10232
1991,10188
1992,9910
1993,9825
1994,9912
1995,9801
1996,9639
1997,9475
1998,9508
1999,9334
2000,9196
2001,8744
2002,8343
2003,8129
2004,8142
2005,8129
2006,8538
2007,8724
2008,8525
2009,8035
2010,7209
2011,6466
2012,5988
