year,state
1990,69712
1991,70442
1992,69401
1993,68643
1994,68332
1995,66764
1996,63222
1997,59955
1998,58170
1999,56635
2000,55463
2001,53007
2002,50222
2003,49339
2004,49751
2005,50034
2006,52800
2007,53417
2008,51730
2009,47831
2010,43149
2011,38303
2012,34890
