year,state
1990,10068
1991,9901
1992,9262
1993,8999
1994,9345
1995,9151
1996,8639
1997,8643
1998,8708
1999,8282
2000,8087
2001,7693
2002,7352
2003,7141
2004,6927
2005,6874
2006,7159
2007,7255
2008,7008
2009,6408
2010,5793
2011,5358
2012,4772
