year,state
1990,2663
1991,2329
1992,2719
1993,2922
1994,3134
1995,3351
1996,3402
1997,3559
1998,3700
1999,3777
2000,3861
2001,3677
2002,3663
2003,3723
2004,3794
2005,3921
2006,4287
2007,4351
2008,4262
2009,3879
2010,3421
2011,3073
2012,2863
