year,state
1990,18216
1991,17854
1992,16835
1993,16508
1994,16476
1995,15979
1996,15330
1997,14691
1998,14849
1999,14604
2000,14177
2001,13567
2002,12961
2003,12925
2004,12791
2005,12910
2006,13599
2007,13841
2008,13724
2009,12850
2010,11959
2011,10816
2012,10049
