year,state
1990,12270
1991,12286
1992,12392
1993,12551
1994,12633
1995,12208
1996,11945
1997,11963
1998,12033
1999,11538
2000,11269
2001,10373
2002,10056
2003,9519
2004,9453
2005,8151
2006,8628
2007,8974
2008,8817
2009,8413
2010,7689
2011,6970
2012,6458
