year,state
1990,2122
1991,2073
1992,1956
1993,1960
1994,2017
1995,1841
1996,1884
1997,1733
1998,1849
1999,1759
2000,1788
2001,1672
2002,1538
2003,1502
2004,1448
2005,1480
2006,1619
2007,1610
2008,1625
2009,1547
2010,1347
2011,1199
2012,1108
