year,state
1990,2030
1991,1949
1992,1704
1993,1766
1994,1547
1995,1404
1996,1354
1997,1184
1998,1133
1999,1076
2000,1057
2001,981
2002,937
2003,838
2004,1181
2005,852
2006,999
2007,1053
2008,1083
2009,1034
2010,951
2011,879
2012,791
