year,state
1990,4367
1991,4518
1992,4670
1993,4873
1994,4841
1995,4844
1996,4775
1997,4706
1998,4865
1999,4753
2000,4655
2001,4529
2002,4513
2003,4524
2004,4401
2005,4471
2006,4628
2007,4720
2008,4540
2009,4438
2010,3872
2011,3452
2012,3275
