year,state
1990,1258
1991,1156
1992,1062
1993,1046
1994,1051
1995,1103
1996,1072
1997,1111
1998,1094
1999,997
2000,995
2001,914
2002,881
2003,825
2004,846
2005,850
2006,865
2007,924
2008,902
2009,765
2010,722
2011,629
2012,629
