year,state
1990,1277
1991,1320
1992,1265
1993,1277
1994,1322
1995,1301
1996,1334
1997,1343
1998,1347
1999,1384
2000,1330
2001,1259
2002,1209
2003,1206
2004,1181
2005,1225
2006,1263
2007,1244
2008,1237
2009,1081
2010,974
2011,900
2012,761
