year,state
1990,9612
1991,9922
1992,10147
1993,10252
1994,10589
1995,10745
1996,11009
1997,11035
1998,11561
1999,11789
2000,12018
2001,11653
2002,11363
2003,11554
2004,11738
2005,11828
2006,12824
2007,12868
2008,12051
2009,10874
2010,9389
2011,8402
2012,8119
