year,state
1990,18369
1991,17896
1992,17462
1993,17230
1994,17337
1995,17727
1996,17648
1997,17847
1998,17867
1999,18027
2000,17994
2001,17279
2002,16258
2003,15864
2004,16191
2005,16548
2006,17693
2007,18085
2008,17273
2009,16345
2010,14378
2011,12991
2012,11488
