region,Refugees,Internally Displaced Persons,Stateless Persons
Africa,4126779,9920194,721438
Asia,7942132,15179635,1959247
Europe,1500505,1130639,600348
Latin America and the Carribean,352668,6044151,211230
Northern America,416385,,
Oceania,46847,,
